Frequency (Hz),Trace th (deg)
1000.000000000001,-91.31688675306781
1047.128548050901,-92.08440975925512
1096.478196143186,-92.20483082826324
1148.153621496884,-91.975547526417
1202.264434617413,-91.96564682856497
1258.925411794169,-93.0377889151905
1318.256738556409,-92.92679759924387
1380.384264602885,-92.30594644994891
1445.43977074593,-93.21412418007368
1513.56124843621,-92.91491222729556
1584.893192461114,-94.53532755908911
1659.586907437563,-94.05608149026766
1737.800828749376,-94.18537890120693
1819.700858609984,-94.26301262180952
1905.46071796325,-94.60464731449434
1995.262314968881,-95.17101346879646
2089.296130854041,-95.85270666508092
2187.761623949554,-96.44617706134143
2290.867652767774,-96.29896647520393
2398.832919019493,-96.53276926297505
2511.886431509582,-97.38884528996543
2630.267991895385,-97.2178103692293
2754.228703338169,-97.80478800092222
2884.031503126609,-97.76302874457495
3019.951720402019,-98.0521468761746
3162.277660168382,-98.6129067869731
3311.311214825914,-99.37978874635014
3467.368504525317,-99.97612417211533
3630.780547701017,-100.5485971835782
3801.893963205617,-100.8450784890021
3981.071705534973,-101.1595578350887
4168.693834703359,-102.1531413027399
4365.158322401665,-102.5170051796863
4570.881896148752,-102.8175858288407
4786.300923226389,-103.926607636894
5011.87233627273,-104.2428998730154
5248.074602497728,-104.3524863048688
5495.408738576254,-105.6046983000927
5754.399373371578,-105.8049554847468
6025.59586074358,-106.7470638951801
6309.573444801937,-107.7282005987261
6606.934480075965,-108.4052508256584
6918.30970918937,-108.3020318855409
7244.359600749906,-109.6333920974313
7585.775750291844,-109.8028740559949
7943.282347242821,-110.4280733751606
8317.637711026719,-111.1554687446652
8709.635899560815,-111.2086330124846
9120.108393559105,-112.2891328846519
9549.925860214369,-112.5116983938053
10000,-113.370606414779
10471.28548050901,-113.0442076831196
10964.78196143186,-113.4250915126868
11481.53621496883,-113.7860972283487
12022.64434617414,-113.8296544663313
12589.25411794168,-113.8892097841801
13182.56738556407,-113.6970321896707
13803.84264602886,-113.6187912568052
14454.39770745929,-113.4625291724847
15135.61248436209,-113.0033671930933
15848.93192461115,-112.5152372145991
16595.86907437562,-112.1023928294514
17378.00828749376,-111.4509789457961
18197.00858609984,-110.8522695313211
19054.60717963249,-110.1073324541446
19952.62314968881,-109.1794767589808
20892.96130854039,-108.5084403034751
21877.61623949554,-107.5215241995192
22908.67652767775,-106.592236595575
23988.32919019491,-105.6583128326676
25118.86431509582,-104.9068009245239
26302.67991895384,-103.5243393606206
27542.28703338168,-102.4189929138913
28840.31503126608,-101.4015814100918
30199.51720402019,-100.3919539650253
31622.77660168381,-99.25349271610733
33113.11214825913,-98.2690513396991
34673.68504525317,-96.99879171615265
36307.80547701016,-96.02988599715144
38018.93963205612,-94.97460312067052
39810.71705534973,-93.98845391762389
41686.93834703357,-92.91721604886929
43651.58322401661,-92.04560647607639
45708.81896148752,-90.81540077367278
47863.00923226388,-90.13098110107121
50118.72336272725,-89.01245816290938
52480.74602497728,-88.35418961957191
54954.08738576245,-87.30392420721084
57543.99373371572,-86.68246109049807
60255.95860743581,-85.99814906952949
63095.73444801933,-85.30365073159138
66069.34480075965,-84.68190907695249
69183.09709189367,-84.02672532931497
72443.59600749903,-83.61832840860146
75857.75750291844,-83.02523039300972
79432.82347242818,-82.68195208944344
83176.37711026713,-82.37898005430451
87096.35899560805,-82.14134301537673
91201.08393559101,-82.07056950058515
95499.25860214364,-82.17119367507847
100000,-82.37666002109214
104712.85480509,-82.72886465084443
109647.8196143186,-83.10807431075115
114815.3621496883,-83.26501274341351
120226.4434617413,-83.9105733921908
125892.5411794167,-83.69439015182556
131825.6738556407,-83.86003975306187
138038.4264602886,-83.786331658753
144543.9770745928,-83.95423344947685
151356.1248436209,-83.99949682571952
158489.3192461114,-83.8357835043123
165958.6907437561,-83.76309734328177
173780.0828749376,-83.98609835592885
181970.0858609984,-83.64929055686787
190546.0717963248,-83.69332896037534
199526.2314968881,-83.52007180069018
208929.613085404,-83.47232403810717
218776.1623949553,-83.14459652396242
229086.7652767773,-82.89942673761655
239883.2919019491,-83.35788229761327
251188.6431509582,-82.33036951983996
263026.7991895382,-82.07266601183119
275422.8703338167,-81.74241836537836
288403.1503126606,-81.40959259061852
301995.1720402017,-80.91015755728711
316227.766016838,-80.50349865708795
331131.121482591,-80.07198397628034
346736.8504525317,-79.45783239587097
363078.0547701015,-78.98597892446709
380189.3963205612,-78.3379939096733
398107.1705534974,-77.74322106084293
416869.3834703353,-77.06222726556108
436515.832240166,-76.39732850614585
457088.1896148752,-75.72624032310074
478630.0923226383,-74.81950439540093
501187.2336272725,-74.26837923794845
524807.4602497725,-73.38202002596577
549540.8738576246,-72.62418240874901
575439.9373371572,-71.72353209692282
602559.5860743576,-70.85403204994952
630957.3444801933,-69.91519215251877
660693.4480075957,-69.02493903925682
691830.9709189365,-68.05552906861071
724435.9600749902,-67.06004095678266
758577.5750291836,-66.05848049960913
794328.2347242816,-65.02910660521897
831763.7711026713,-63.94355349675264
870963.5899560805,-62.86817926946144
912010.8393559098,-61.73703289334562
954992.5860214357,-60.5767436203278
1000000,-59.38009549151488
