Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10.00000000000002,18.80012577197619,0.001925024508871331
11.48153621496884,18.80152448661046,-0.00894633908970377
13.1825673855641,18.8011112799316,-0.000166037072204972
15.1356124843621,18.79855706437894,0.002692676605718702
17.3780082874938,18.79936238312925,-0.01041274348095378
19.95262314968883,18.80319115799913,-0.03481326684162411
22.90867652767779,nan,0
26.30267991895387,nan,0
30.19951720402019,nan,0
34.67368504525324,nan,0
39.81071705534978,nan,0
45.70881896148761,nan,0
52.48074602497734,nan,0
60.25595860743594,nan,0
69.18309709189377,nan,0
79.43282347242837,nan,0
91.20108393559116,nan,0
104.7128548050903,nan,0
120.2264434617413,nan,0
138.0384264602887,nan,0
158.4893192461114,nan,0
181.9700858609986,nan,0
208.9296130854041,nan,0
239.8832919019495,nan,0
275.4228703338169,nan,0
316.2277660168386,nan,0
363.0780547701017,nan,0
416.8693834703363,nan,0
478.630092322639,nan,0
549.5408738576259,nan,0
630.9573444801943,nan,0
724.4359600749921,nan,0
831.7637711026725,nan,0
954.9925860214388,nan,0
1096.478196143187,nan,0
1258.925411794169,nan,0
1445.439770745929,nan,0
1659.586907437563,nan,0
1905.46071796325,nan,0
2187.761623949556,nan,0
2511.886431509585,nan,0
2884.031503126605,nan,0
3311.311214825911,nan,0
3801.893963205612,nan,0
4365.158322401661,nan,0
5011.872336272725,nan,0
5754.399373371572,nan,0
6606.934480075965,nan,0
7585.775750291844,nan,0
8709.635899560813,nan,0
10000.00000000001,nan,0
11481.53621496884,nan,0
13182.56738556409,nan,0
15135.6124843621,nan,0
17378.00828749378,nan,0
19952.62314968883,nan,0
22908.67652767777,nan,0
26302.67991895381,nan,0
30199.51720402016,nan,0
34673.68504525317,nan,0
39810.71705534973,nan,0
45708.81896148752,nan,0
52480.74602497728,nan,0
60255.9586074358,nan,0
69183.09709189369,nan,0
79432.82347242821,nan,0
91201.08393559106,nan,0
104712.8548050901,nan,0
120226.4434617414,nan,0
138038.4264602885,nan,0
158489.3192461114,nan,0
181970.0858609984,nan,0
208929.613085404,nan,0
239883.2919019491,nan,0
275422.8703338167,nan,0
316227.7660168381,nan,0
363078.0547701016,nan,0
416869.3834703357,nan,0
478630.0923226388,nan,0
549540.8738576251,nan,0
630957.344480194,nan,0
724435.960074991,nan,0
831763.7711026708,nan,0
954992.5860214359,nan,0
1096478.196143185,nan,0
1258925.411794167,nan,0
1445439.770745928,nan,0
1659586.907437561,nan,0
1905460.717963248,nan,0
2187761.623949553,nan,0
2511886.431509582,nan,0
2884031.503126608,nan,0
3311311.214825913,nan,0
3801893.963205615,nan,0
4365158.322401657,nan,0
5011872.33627272,nan,0
5754399.373371567,nan,0
6606934.480075958,nan,0
7585775.750291836,nan,0
8709635.899560805,nan,0
10000000,nan,0
